fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220524 185900	0.0549266344038188	4652	676	10	5	0	1
20220524 190035	-0.0788060798964579	5134	790	18	5	8996000	2
20220524 190221	-0.491956730865058	5677	342	13	5	8838000	3
20220524 190408	-0.270564065632061	3215	240	11	5	10599000	4
20220524 190500	-0.598247543926118	7776	1156	4	5	8660000	5
20220524 190627	-0.904639996278274	4181	968	12	5	9205000	6
20220524 190724	0.0238600446304191	3534	1041	14	5	0	7
20220524 190842	-0.328621806218871	7099	1741	20	5	8660000	8
20220524 190926	-0.813512803337653	2956	120	3	5	9165000	9
20220524 191047	-0.207705721266393	6989	481	9	5	8853000	10
20220524 191157	-0.763581209098629	6105	1950	6	5	8650000	11
20220524 191322	-0.152497184230015	4693	1522	12	5	8725000	12
20220524 191608	-0.93259073543828	4996	39	19	5	8396000	13
20220524 191652	-0.0147867400525137	1406	424	3	5	8905000	14
20220524 191853	-0.673842619229108	7014	1717	16	5	8684000	15
20220524 192043	-0.722297705081292	6635	1825	14	5	8868000	16
20220524 192204	-0.083080752499427	516	2	3	5	8726000	17
20220524 192507	-0.278392932386126	2822	714	18	5	10418000	18
20220524 192734	-0.298750617520483	555	193	12	5	8955000	19
20220524 192909	-0.261169806284197	3631	1710	6	5	9272000	20
20220524 193206	-0.271799618786751	5361	11	20	5	8981000	21
20220524 193423	-0.241050681716289	2442	569	15	5	10182000	22
20220524 193602	-0.273510675548907	3392	905	13	5	10315000	23
20220524 193652	-0.267250592847037	2229	426	3	5	8905000	24
20220524 193859	-0.371567545325735	3169	317	17	5	10599000	25
20220524 194051	-0.354021099636625	3881	26	10	5	9617000	26
20220524 194233	-0.403468849217863	2773	1258	20	5	9934000	27
20220524 194445	-0.345929871064826	2809	565	20	5	10142000	28
20220524 194853	-0.418581486041853	2870	1	18	5	10201000	29
20220524 195317	-0.143105081978972	3091	1	20	5	10124000	30
20220524 195729	-0.119555120394861	7508	147	20	5	8660000	31
20220524 200244	-0.275908905205294	3052	1	15	5	10372000	32
20220524 200610	-0.192495489622127	3083	499	20	5	10038000	33
20220524 200956	-0.804439944403162	1959	976	18	5	10266000	34
20220524 201337	-0.744680592538589	717	349	15	5	9505000	35
20220524 201701	-0.848146622741633	159	77	16	5	5912000	36
20220524 201917	-0.774899844302627	3457	1130	20	5	9682000	37
20220524 202129	-0.801038795556928	2768	1384	11	5	9636000	38
20220524 202303	-0.812461031722514	7536	792	18	5	8660000	39
20220524 202446	-0.389201515949675	4276	342	20	5	9015000	40
20220524 202615	-0.377920408135087	2047	651	16	5	10325000	41
20220524 202744	-0.591149135615797	1716	852	17	5	10093000	42
20220524 202930	-0.712581439331193	2064	1031	17	5	10118000	43
20220524 203058	-0.482905800610289	2349	986	17	5	10425000	44
20220524 203247	-0.336623646370368	3053	871	17	5	10628000	45
20220524 203356	-0.64518803596603	2122	433	8	5	10167000	46
20220524 203457	-0.552165688979359	2645	1322	11	5	9899000	47
20220524 203630	-0.537916044475739	2390	2	15	5	10259000	48
20220524 203741	-0.644369786015857	2943	358	13	5	10127000	49
20220524 203810	-0.584568852614101	2705	1	3	5	8544000	50
20220524 203958	-0.323715280405219	2943	359	17	5	10127000	51
20220524 204058	-0.358239352111129	3093	1521	17	5	9126000	52
20220524 204234	-0.413551347679226	2971	781	17	5	10387000	53
20220524 204330	-0.75665513942394	2315	756	6	5	10298000	54
20220524 204434	-0.724005165327822	3931	417	9	5	9828000	55
20220524 204540	-0.23242078725418	3386	3	10	5	10204000	56
20220524 204642	-0.523552177732561	2504	872	20	5	10703000	57
20220524 204810	-0.511105227703822	586	292	20	5	9118000	58
20220524 204853	-0.999938118832886	6549	896	3	5	8827000	59
20220524 204953	-0.998877925900489	4400	2000	19	5	8901000	60
20220524 205051	-0.534449508965266	2994	919	18	5	10502000	61
20220524 205155	-0.148722862792532	5096	939	20	5	8899000	62
20220524 205226	-0.697774283162314	1782	890	3	5	9024000	63
20220524 205322	-0.932907670633538	7995	1995	16	5	8438000	64
20220524 205442	-0.105885101173983	1304	434	20	5	10038000	65
20220524 205547	-0.63851651134845	2072	1033	20	5	10118000	66
20220524 205652	-0.517766590171534	2493	826	15	5	10586000	67
20220524 205801	-0.761228890479362	2261	675	14	5	10440000	68
20220524 205833	-0.0984397222654404	5046	279	3	5	9136000	69
20220524 205939	-0.523387487768856	8000	1999	20	5	8438000	70
20220524 210009	-0.741955189366489	7997	1	3	5	8256000	71
20220524 210127	-0.503405055203856	2835	612	20	5	10241000	72
20220524 210156	-0.96642695065296	2372	1185	3	5	8703000	73
20220524 210303	-0.532400776650424	2181	926	19	5	10291000	74
20220524 210413	-0.451623555180485	2659	1027	16	5	10419000	75
20220524 210513	-0.519947950608653	3007	1357	20	5	9460000	76
20220524 210619	-0.372859606781054	2720	903	11	5	10471000	77
20220524 210730	-0.371633693353535	2693	861	18	5	10599000	78
20220524 210906	-0.55919190349823	2724	604	20	5	10142000	79
20220524 211107	-0.618217230795875	2498	897	12	5	10581000	80
20220524 211249	-0.256354830728854	3150	270	16	5	10599000	81
20220524 211410	-0.526136463317118	2750	846	11	5	10487000	82
20220524 211721	-0.380372236894001	2724	163	14	5	10202000	83
20220524 212052	-0.46628749579378	2484	724	20	5	10449000	84
20220524 212440	-0.536526555541931	7847	1	20	5	9133000	85
20220524 212716	-0.171173560568656	13	6	20	5	4148000	86
20220524 212846	-0.101575181182245	2915	354	18	5	10127000	87
20220524 212945	-0.109844252462287	1064	516	7	5	9947000	88
