fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220524 232601	965	16	202	40	5	10188000	1
20220524 235713	481	24	116	30	5	9256000	2
20220525 001023	1454	2	170	23	5	9057000	3
20220525 004840	660	9	82	43	5	10788000	4
20220525 015626	1415	13	418	28	5	11338000	5
20220525 022243	1026	20	340	12	5	11467000	6
20220525 031410	724	18	246	35	5	10166000	7
20220525 042213	2261	5	402	45	5	10620000	8
20220525 043416	1633	15	148	2	5	10818000	9
20220525 052329	2474	27	349	10	5	11969000	10
20220525 083927	1918	22	311	48	5	10120000	11
20220525 084428	137	26	252	16	5	10721000	12
20220525 085756	1279	3	63	21	5	10103000	13
20220525 091632	2097	6	465	7	5	10801000	14
20220525 102856	1895	29	21	18	5	9103000	15
20220525 104628	359	11	470	32	5	11504000	16
20220525 111352	2302	30	354	4	5	11604000	17
20220525 122308	2500	28	396	13	5	11445000	18
20220525 130855	2472	28	316	9	5	11800000	19
20220525 135108	2495	24	347	8	5	11861000	20
20220525 135736	311	30	350	9	5	11509000	21
20220525 145636	2479	30	343	11	5	11651000	22
20220525 152035	1777	26	342	6	5	11926000	23
20220525 152258	100	16	491	11	5	11379000	24
20220525 154050	2493	16	350	2	5	10784000	25
20220525 162557	2256	26	343	10	5	11614000	26
20220525 163634	1343	27	355	2	5	11175000	27
20220525 171438	2500	28	360	7	5	12226000	28
20220525 175255	2500	27	356	7	5	12115000	29
20220525 180112	604	22	364	6	5	11863000	30
20220525 183219	1774	28	364	8	5	11906000	31
20220525 191651	2499	30	394	8	5	12024000	32
20220525 191929	145	16	338	8	5	11686000	33
20220525 193136	897	22	285	6	5	12043000	34
20220525 194717	1155	19	322	6	5	11681000	35
20220525 194941	155	24	287	6	5	11495000	36
20220525 200318	899	25	323	7	5	12258000	37
20220525 201859	966	28	300	7	5	11578000	38
20220525 203358	874	24	334	8	5	11944000	39
20220525 204649	932	25	327	6	5	11924000	40
20220525 210712	1351	22	317	7	5	12128000	41
20220525 214631	2499	28	446	7	5	12165000	42
20220525 220444	1088	25	445	7	5	12122000	43
20220525 223045	1645	25	129	7	5	11361000	44
20220525 232121	2500	28	455	10	5	11974000	45
20220525 234430	1385	25	360	7	5	11871000	46
20220525 235800	893	22	350	7	5	11778000	47
20220526 000800	656	23	316	7	5	11913000	48
20220526 001801	599	26	430	8	5	11961000	49
20220526 004330	1682	22	271	7	5	11918000	50
20220526 012323	2434	25	313	7	5	11986000	51
20220526 015726	2499	28	401	6	5	12011000	52
20220526 020358	478	21	452	6	5	12046000	53
20220526 022810	1839	22	452	6	5	12156000	54
20220526 025405	2018	22	318	5	5	11796000	55
20220526 031425	1212	25	303	8	5	11881000	56
20220526 033231	1353	21	313	6	5	11726000	57
20220526 040058	1906	24	461	7	5	12321000	58
20220526 043138	2042	28	425	7	5	12323000	59
20220526 044457	862	25	209	7	5	11643000	60
20220526 051311	1890	26	479	7	5	11864000	61
20220526 054306	2013	23	435	7	5	12203000	62
20220526 060949	1973	24	447	6	5	12146000	63
20220526 063722	1856	29	423	7	5	12076000	64
20220526 064716	654	24	475	7	5	11912000	65
20220526 065129	345	18	427	5	5	11749000	66
20220526 072601	2208	28	397	7	5	12253000	67
20220526 080614	2441	24	449	8	5	11977000	68
20220526 083205	1742	24	446	7	5	12098000	69
20220526 090118	1993	23	500	7	5	11789000	70
20220526 093731	2397	24	386	7	5	12142000	71
20220526 101450	2284	26	428	7	5	12414000	72
20220526 103027	1305	27	460	5	5	11883000	73
20220526 103452	276	21	394	7	5	11235000	74
20220526 105132	1061	14	282	8	5	12224000	75
20220526 110730	1175	28	436	6	5	12099000	76
20220526 112521	1643	13	280	5	5	11632000	77
20220526 114248	941	20	281	9	5	11786000	78
20220526 120920	1826	12	314	8	5	11973000	79
20220526 123458	1552	18	403	8	5	12032000	80
20220526 130055	1635	15	239	8	5	11865000	81
20220526 130930	988	6	272	8	5	10877000	82
20220526 133109	1306	17	317	8	5	12010000	83
20220526 134843	1080	13	435	8	5	11804000	84
20220526 142158	2241	24	457	7	5	12103000	85
20220526 150504	2324	27	429	9	5	11887000	86
20220526 152533	1115	22	463	9	5	12133000	87
20220526 155547	1882	16	289	8	5	11930000	88
20220526 162606	2090	25	426	6	5	12306000	89
20220526 170150	2310	17	414	7	5	12176000	90
20220526 172256	1543	20	466	6	5	12098000	91
20220526 180944	2466	14	372	10	5	11918000	92
20220526 182215	912	21	245	6	5	11575000	93
20220526 184245	1635	11	379	7	5	12028000	94
20220526 200931	2117	14	397	7	5	11868000	95
20220526 204252	1883	28	462	8	5	12056000	96
20220526 205558	850	11	366	9	5	11979000	97
20220526 213151	2358	26	417	7	5	12436000	98
20220526 221409	1915	21	466	11	5	11896000	99
20220526 223952	1411	10	380	12	5	11897000	100
20220526 224631	1629	2	373	9	5	6064000	101
20220526 232113	1935	17	469	9	5	11844000	102
20220526 234736	1171	14	293	12	5	11774000	103
20220527 000423	1147	10	248	8	5	12051000	104
20220527 004729	2428	19	409	8	5	12151000	105
20220527 005311	590	22	473	3	5	11254000	106
20220527 010035	547	12	268	7	5	11869000	107
20220527 011906	1094	19	487	8	5	11913000	108
20220527 015309	2498	10	444	8	5	11823000	109
20220527 020745	692	16	256	10	5	11823000	110
20220527 022932	946	13	371	13	5	11734000	111
20220527 030015	2014	25	418	7	5	12069000	112
20220527 033908	2421	18	375	7	5	11950000	113
20220527 041541	1900	12	411	11	5	11779000	114
20220527 044429	2063	26	426	6	5	12196000	115
20220527 052253	2427	28	424	7	5	12263000	116
