fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	experimento	cols	rows	iteracion
20220620 170350	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	69	TRUE	0.0515880390229868	0.680513846557588	2371	610	0.0302829774989126	112057000	HT7310	806	1658475	1
20220620 171230	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	54	TRUE	0.150381104229484	0.670373653918505	10696	1349	0.0223326113075018	124098000	HT7310	806	1658475	2
20220620 172210	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	53	TRUE	0.197775091098505	0.303433387791738	3392	1561	0.0123409858565234	116193000	HT7310	806	1658475	3
20220620 173118	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.26272081478918	0.505801141150296	15027	668	0.0256397253474764	117026000	HT7310	806	1658475	4
20220620 180847	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	289	TRUE	0.0178027998426696	0.837534247664735	5739	473	0.0360516902423115	108962000	HT7310	806	1658475	5
20220620 182133	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	137	TRUE	0.0818363613471156	0.617977073071525	18644	1503	0.0289684170207086	120121000	HT7310	806	1658475	6
20220620 182713	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	23	TRUE	0.294440259011928	0.925146840885282	6886	916	0.0449753390503853	92190000	HT7310	806	1658475	7
20220620 183836	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	68	TRUE	0.166985922981403	0.361169970054179	19923	997	0.0125525889282774	125945000	HT7310	806	1658475	8
20220620 184843	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	74	TRUE	0.1091981851788	0.867885849419981	11897	1936	0.0175594280357473	127327000	HT7310	806	1658475	9
20220620 185643	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	39	TRUE	0.222109852110851	0.330308757983148	7569	1279	0.0351091935115013	104681000	HT7310	806	1658475	10
20220620 190455	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.234050157383666	0.424989681858569	1673	358	0.0321973033588923	90971000	HT7310	806	1658475	11
20220620 200619	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	440	TRUE	0.0254633591794409	0.461986715579405	9728	309	0.0149881735235491	132266000	HT7310	806	1658475	12
