Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.236739377749073	0.0143405232050569	0.00549693794731794
mcaja_ahorro	0.0468070090842427	0.00701179619695881	0.00913081974470597
mcuentas_saldo	0.0463338449109642	0.00894051340740298	0.0105511694827713
ctrx_quarter	0.0418103998049598	0.00466927034697227	0.00365232789788239
mtarjeta_visa_consumo	0.0285906879197834	0.0128872303353284	0.00868811333284144
cpayroll_trx	0.0238609877762029	0.0114273918948941	0.00400280380727514
mpayroll_sobre_edad	0.0169583898126757	0.0121426092994543	0.00381834280233159
foto_mes	0.0164220673821473	0.0221079392947078	0.0187781303032539
Visa_Finiciomora_mean6	0.015309723112579	0.0066207946056752	0.0018630561499299
mprestamos_personales	0.0152390394276588	0.0104294808897928	0.00612410536412602
mpasivos_margen	0.0124431692512799	0.00569852628274786	0.00568139895226149
mv_Finiciomora	0.0106381573740694	0.00662954156089524	0.00175237954696377
mv_Finiciomora_lag1	0.0102833904844499	0.00926233524862776	0.00339408249096141
mpayroll	0.00982674292687503	0.00780721484910559	0.00367077399837674
mprestamos_personales_mean6	0.00886419892210878	0.00347206187607726	0.00315428318453479
mcuenta_corriente	0.00815870828609097	0.00246397139559593	0.00542315354534052
mactivos_margen	0.00696745200912163	0.00826398112238447	0.00992400206596326
ctarjeta_visa_trx	0.00691402067432557	0.0047734522098593	0.00608721316313731
cliente_vip_lag1	0.00655213978752417	0.00536422792463	0.00221353205932266
mpasivos_margen_mean6	0.0063342394438996	0.00187718794548409	0.00392901940529772
mv_Finiciomora_mean6	0.00605113562954202	0.00576561870086811	0.00226887036080573
mdescubierto_preacordado	0.00596950013731384	0.00228206171191513	0.00134656533608795
mv_status07	0.00588587959025013	0.000250717418576818	0.000258245406920977
mv_mpagospesos	0.00577655856174565	0.00122359246829235	0.00162325684350328
mrentabilidad_annual_delta1	0.00559463241736354	0.00739363183838676	0.0115657050099609
mv_Finiciomora_delta1	0.00545490472929782	0.00538921315067539	0.00138345753707666
ctrx_quarter_normalizado_delta1	0.00526463431715445	0.0039405168403006	0.00560761455028407
mprestamos_personales_delta1	0.00483202515505029	0.00912299901413916	0.00510956983693647
mactivos_margen_mean6	0.00455142088393353	0.0033789583955013	0.00665904227846233
cprestamos_personales_mean6	0.00452780760361683	0.0023438335632338	0.00280380727514204
mcaja_ahorro_lag1	0.00446321430220997	0.00306289111518397	0.00522024643990261
mrentabilidad_mean6	0.00423672034357447	0.00332033303682626	0.00540470744484616
mcuenta_corriente_delta1	0.00418464544602387	0.00744106752151165	0.00664059617796798
mv_mpagominimo	0.00390467655489634	0.00444942311168625	0.0033571902899727
mcuenta_corriente_mean6	0.00386269386676186	0.00569843805473188	0.00986866376448019
mv_msaldototal	0.00375384662411905	0.000770820935999964	0.00118055043163875
ccaja_ahorro	0.0036428474558939	0.00789888269642395	0.00273002287316461
ctrx_quarter_delta1	0.00357887130103993	0.00340327621587329	0.00647458127351878
cliente_edad_mean6	0.00357746736132555	0.00778595430283019	0.00975798716151406
mcuenta_corriente_lag1	0.00352222258355754	0.00259744212969909	0.00520180033940825
mcuentas_saldo_delta1	0.00351478700630848	0.00680276428723695	0.0087434516343245
mvr_msaldopesos2	0.00346420551743403	0.00161466672210395	0.00370766619936545
cproductos	0.00318908188947149	0.00744794817472248	0.00651147347450749
mcomisiones_mantenimiento	0.0030873795365558	0.00405243001031676	0.0041872648122187
mvr_mpagospesos	0.00303215545117618	0.00238393867979292	0.00226887036080573
chomebanking_trx_mean6	0.00303042322800326	0.00307504514346691	0.00595809045967682
mrentabilidad_annual_mean6	0.00291436382925096	0.00635898260252936	0.0065483656754962
mautoservicio	0.00288757190986704	0.00534606399068446	0.00260090016970412
mactivos_margen_delta1	0.00281974131899765	0.00366199316323807	0.00680661108241718
mcaja_ahorro_mean6	0.00268649511285683	0.00261113883934562	0.00518335423891389
ccomisiones_mantenimiento_mean6	0.00267650860433375	0.00677851672381754	0.00486977053050985
cliente_edad_lag1	0.00262320601655671	0.00729359414517086	0.00831919132295433
Visa_Finiciomora	0.00260235258543557	0.0036440057560767	0.00106987382867262
mcuentas_saldo_lag1	0.00250581937657401	0.00728400835165296	0.00575518335423891
mcaja_ahorro_dolares_delta1	0.00243232709823046	0.00739991138075256	0.00398435770678079
thomebanking_mean6	0.00238815210572603	0.00155326787647915	0.00332029808898399
mprestamos_personales_lag1	0.00237399184563919	0.00123472893817449	0.00105142772817826
chomebanking_trx_delta1	0.00235589865471267	0.00729476325482285	0.00579207555522763
cliente_edad	0.00233903693909635	0.00430507705413798	0.00625322806758651
mcuenta_debitos_automaticos	0.0023240775930463	0.00855942130103511	0.00357854349590497
mv_mpagospesos_mean6	0.00231897622774537	0.00105831351799073	0.00171548734597506
mtransferencias_emitidas_mean6	0.0022985234692019	0.003503993130383	0.00616099756511474
cprestamos_personales_delta1	0.00227297505024949	0.0047292562708015	0.00127278093411053
mtransferencias_recibidas	0.00221314649362224	0.00367894214009429	0.00359698959639932
mrentabilidad_delta1	0.00220061186764104	0.00274717087449645	0.00641924297203571
mcomisiones_otras_mean6	0.0021930243909291	0.00309808022612463	0.00376300450084852
ctransferencias_recibidas_mean6	0.00213327911048544	0.00376131802785654	0.00592119825868811
mtarjeta_visa_debitos_automaticos_mean6	0.00211919025722635	0.0022383658495349	0.0040212499077695
Visa_fechaalta_mean6	0.0021019144023125	0.0012234957500102	0.0031911753855235
mcaja_ahorro_delta1	0.00209540003328384	0.0062461960671329	0.00462997122408323
mcuentas_saldo_mean6	0.00207691167763575	0.00396001997223046	0.0038552350033203
cpayroll_trx_mean6	0.0020599891784225	0.000790282324121138	0.00114365823065004
mcomisiones_mantenimiento_mean6	0.00202033771054446	0.00206706107432162	0.00356009739541061
mcomisiones_mean6	0.00201939469143514	0.00165230867094192	0.00320962148601786
mrentabilidad	0.00191562465616954	0.0022065109368725	0.00498044713347598
Visa_mpagospesos_mean6	0.00190771417679014	0.00311145848003747	0.00389212720430901
mpagomiscuentas	0.00187452118398375	0.00659194043608712	0.00237954696377186
mtransferencias_recibidas_lag1	0.00187010022480128	0.00613956914909256	0.00427949531469047
mrentabilidad_annual_lag1	0.00179835685034481	0.00175643690364763	0.00461152512358887
tmobile_app_delta1	0.00179533960153006	0.000910548430254696	0.00249022356673799
mrentabilidad_annual	0.00177165485577779	0.0014660184344293	0.00356009739541061
cprestamos_personales	0.00176555023685305	0.00150454464448916	0.00112521213015569
cproductos_delta1	0.0017257668289049	0.00549284611785435	0.00130967313509924
ccomisiones_otras_mean6	0.00167554412951136	0.00296085856317857	0.00444551021913967
mactivos_margen_lag1	0.00166655167058033	0.00228128018291393	0.00446395631963403
mdescubierto_preacordado_delta1	0.00165243614400381	0.00519925738324711	0.00118055043163875
Visa_mpagominimo	0.00164654511088923	0.00252213707710994	0.00328340588799528
mcomisiones	0.00162911657278648	0.00254431117602552	0.00328340588799528
mpasivos_margen_delta1	0.00158945240026852	0.00182180042056624	0.00464841732457759
mv_msaldopesos	0.00158387552399089	0.000830910865589808	0.00119899653213311
mcaja_ahorro_dolares_mean6	0.00157510478647088	0.00216303744871378	0.00396591160628643
ctarjeta_master_mean6	0.00156934321180185	1.98108333264001e-05	5.53383014830665e-05
mvr_mpagominimo_lag1	0.00156165402432727	0.0023701412189878	0.00398435770678079
numero_de_cliente	0.00156007627586339	0.00209116508149048	0.00492510883199292
mtransferencias_emitidas_lag1	0.00150871303535363	0.00236102040904729	0.00431638751567919
ctarjeta_visa_debitos_automaticos_mean6	0.00149495090233888	0.00615356690942713	0.00413192651073563
Visa_cconsumos_mean6	0.00147554868467146	0.00216223271298504	0.00378145060134288
Master_fultimo_cierre_mean6	0.00144896704835425	0.0020585142771266	0.00392901940529772
ctarjeta_master	0.00143411439412629	0.000100949689307285	0.000147568803954844
chomebanking_trx	0.00141829481532964	0.00199271584632329	0.0036892200988711
mv_status05_mean6	0.00140303713870599	7.71375350381045e-05	0.00020290710543791
Master_Fvencimiento_mean6	0.00139045838257213	0.00138733015227474	0.00409503430974692
mrentabilidad_lag1	0.00136447657762099	0.0014802835673961	0.00398435770678079
Visa_mpagospesos_delta1	0.00135292653322989	0.00238066844151983	0.00398435770678079
mpasivos_margen_lag1	0.0013440718850796	0.0014531393374152	0.00403969600826385
chomebanking_trx_lag1	0.00133130400559984	0.00140681212929138	0.00424260311370176
mv_status07_delta1	0.00131835229362749	0.00210190477293348	0.000627167416808087
Visa_mpagominimo_delta1	0.00130639010043581	0.0010228744394635	0.00215819375783959
mpayroll_mean6	0.00130471294034066	0.00405406884394475	0.00341252859145577
mtransferencias_emitidas_delta1	0.00130228981217598	0.00815753115564161	0.00533092304286874
Visa_mconsumospesos	0.00129765232594111	0.00160619930889765	0.00370766619936545
cproductos_mean6	0.00129086732784217	0.00193200888663934	0.0041872648122187
mv_cconsumos_mean6	0.00128684652709803	0.00271178960053141	0.00306205268206301
Master_Fvencimiento	0.00128401809174818	0.00131961596366177	0.0040212499077695
mtransferencias_recibidas_mean6	0.00126067557628885	0.00214621242974368	0.00372611229985981
Master_fechaalta	0.00125351118404046	0.00752830422816223	0.0043532797166679
mv_Fvencimiento	0.00122033573050679	0.00126519639983983	0.0033571902899727
ctrx_quarter_mean6	0.00118636857648285	0.0016671328879362	0.00247177746624364
Visa_Fvencimiento	0.00118293302195225	0.0015293909839304	0.00317272928502914
ccaja_seguridad	0.0011787376039389	0.00482598084990013	0.00134656533608795
mcomisiones_delta1	0.00116161148713662	0.00160542690693259	0.00346786689293883
mv_fechaalta_mean6	0.0011597569450362	0.00133569589102299	0.00284069947613075
mv_fultimo_cierre_mean6	0.00115949040976694	0.00165557721116178	0.00320962148601786
cliente_antiguedad_mean6	0.00115916629796086	0.00175910525280129	0.00394746550579208
mcomisiones_mantenimiento_lag1	0.00114419993412426	0.0056534610819384	0.00309894488305172
Visa_fultimo_cierre_mean6	0.00114413239674723	0.00154768948859478	0.00337563639046706
Master_mfinanciacion_limite	0.00113374793702971	0.00244360657240176	0.0028591455766251
mcomisiones_otras	0.00113070225914513	0.00237153008502923	0.00265623847118719
Visa_fechaalta	0.00112897961588761	0.00122604410340195	0.00337563639046706
cmobile_app_trx_mean6	0.00112403621479703	0.00139862921075409	0.00346786689293883
ccajas_consultas_mean6	0.00111373786648419	0.00857184737159667	0.00304360658156866
mv_fechaalta	0.00110732621727521	0.00111982988304982	0.00278536117464768
ctransferencias_emitidas_mean6	0.00110664487426205	0.00163590250510301	0.00306205268206301
mv_status02_mean6	0.00110468417431275	0.000334266024354182	0.00036892200988711
cliente_antiguedad	0.0010885451448099	0.00236403968920276	0.00309894488305172
mcomisiones_otras_delta1	0.0010854661255358	0.00171635039492187	0.0031911753855235
ctarjeta_debito_mean6	0.00107385811888781	0.00164001908140909	0.00332029808898399
tcallcenter	0.00107060866192372	0.00239420051075483	0.00142034973806537
cmobile_app_trx_delta1	0.00105017474495854	0.00400029899774168	0.00289603777761381
mvr_mpagominimo	0.0010457033548477	0.00363276032777868	0.00372611229985981
Master_fultimo_cierre	0.00103837272704149	0.00191813409365984	0.00306205268206301
Visa_mconsumospesos_lag1	0.0010311180848841	0.000944840615326426	0.00250866966723235
cmobile_app_trx_lag1	0.00103088892831833	0.00308286559839085	0.0031911753855235
mcomisiones_otras_lag1	0.00101169885786607	0.00106611479906356	0.00274846897365897
internet_mean6	0.00100898557268123	0.000943755700813985	0.00212130155685088
mvr_msaldopesos_lag1	0.00100430733647721	0.00176230410208631	0.00182616394894119
Visa_mconsumospesos_delta1	0.00100055881051396	0.00137091415187751	0.00276691507415332
Visa_mpagospesos	0.000998040263681345	0.00239331320718756	0.00420571091271305
Master_Fvencimiento_lag1	0.000993979328175921	0.00130195408745591	0.00337563639046706
Master_mpagominimo	0.000989802694978413	0.00295856428100204	0.00232420866228879
Master_fechaalta_mean6	0.000989664915112586	0.00159113609091062	0.00348631299343319
mcomisiones_lag1	0.000987502357906198	0.000963890013281567	0.00230576256179444
Visa_mfinanciacion_limite	0.000982554762223279	0.00119718512266303	0.00228731646130008
