Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.10792175339493	0.0085735050707417	0.00415372773840805
ctrx_quarter	0.103756744272574	0.00543300716434602	0.00337075669506596
mcaja_ahorro	0.050616490792742	0.00656059840947742	0.00683440825968097
mtarjeta_visa_consumo	0.0506114414698539	0.00892844099739131	0.00552060939034424
mcuentas_saldo	0.0476693850777554	0.0125851478185845	0.0109748653024392
cpayroll_trx	0.019495265998827	0.00849229212092179	0.00294609443427024
mv_status07	0.0180113459047728	0.000349521188614548	0.000172519043448258
mpasivos_margen	0.0176347079317352	0.00534218084276527	0.00411391565145845
foto_mes	0.0158721855533788	0.0264781077077525	0.0179154391273191
mprestamos_personales	0.0150154850404334	0.0118270191849006	0.00522865408604719
mdescubierto_preacordado	0.014351025675348	0.0016797235895659	0.00118109191283807
mdescubierto_preacordado_mean6	0.0140753377005457	0.00290080892255708	0.00222947686917748
ctarjeta_visa_trx	0.0131324143498925	0.00603389554101667	0.00586564747724076
mpayroll	0.0128487163653951	0.011556327404535	0.00424662260795711
Visa_status_mean6	0.012677708798025	0.00329921876254219	0.00102184356503968
mcuenta_corriente	0.0122230368397368	0.00355698169278672	0.00687422034663057
mprestamos_personales_mean6	0.0118662170329206	0.0043492851164902	0.00310534278206864
mpayroll_sobre_edad	0.0116149411026385	0.00739077125846499	0.0030788013907689
mdescubierto_preacordado_delta1	0.011540839853133	0.00749165879158301	0.00200387504312976
cproductos_delta1	0.00915439524196182	0.0047098990750493	0.00134034026063646
mcaja_ahorro_lag1	0.00762367816379071	0.00294724289039756	0.0049897815643496
cprestamos_personales_mean6	0.00688324626768545	0.00304004666106395	0.0024948907821748
Visa_Finiciomora_mean6	0.00592375959572924	0.00235274322178273	0.00108819704328901
Master_status_mean6	0.00559330074632733	0.000641963993913129	0.000398120869495979
mv_status01_mean6	0.00552365317065019	0.00156606384445063	0.00114127982588847
mv_status07_delta1	0.00514120064600871	0.000402971389203331	0.00013270695649866
mactivos_margen	0.00508395973952561	0.00639596899631111	0.00725907052047668
mv_status02	0.00460952443709717	0.000258370439112498	0.000225601826047721
mv_msaldopesos	0.00456415139161289	0.0016750219295761	0.0019507922605303
mv_Finiciomora	0.00440574934455003	0.0071171587689866	0.00165883695623325
mcaja_ahorro_dolares_delta1	0.00426242640807935	0.00817419955120371	0.00379541895586167
mactivos_margen_mean6	0.00418429871868699	0.00282001081499719	0.00449876582530456
mprestamos_personales_lag1	0.00403345523009829	0.00128002164232642	0.00116782121718821
mprestamos_personales_delta1	0.00397182353128535	0.0117370158568357	0.0043660588688059
mv_status01	0.00388868236029011	0.000934936475116366	0.000530827825994639
mcuenta_corriente_mean6	0.00377105643093518	0.00584184833705767	0.00873211773761181
Visa_Finiciomora	0.00376151083322661	0.0054508031195435	0.00122090399978767
ccaja_ahorro	0.00366093529703484	0.00793858041355716	0.00258778565172386
