Feature	Gain	Cover	Frequency
ctrx_quarter	0.208450813042547	0.0169617718160386	0.0130455366379688
mcuentas_saldo	0.0431926125050432	0.0135353563270272	0.019401728884291
mtarjeta_visa_consumo	0.0397215482283511	0.0123990709732868	0.0162806193123038
mcaja_ahorro	0.0299600784841997	0.00755121974714493	0.0121512861426242
mdescubierto_preacordado	0.0206823590670192	0.00203482751992256	0.00175343234381301
cpayroll_trx	0.0204694840883214	0.00839337297144588	0.00466413003454262
foto_mes	0.0194652769306238	0.0147509747882538	0.0165436341638758
ctarjeta_visa	0.0184094303551189	0.000681797132482658	0.000753975907839596
mprestamos_personales	0.0163496065069476	0.00843683791373741	0.00332275429152566
mpayroll	0.0150879747609264	0.0115169612413331	0.00576879241114482
mcuenta_corriente	0.0126006147955594	0.00695240970889527	0.0102926478581824
mdescubierto_preacordado_delta1	0.0117126251874678	0.00429579562316359	0.00103452508284968
Master_status	0.0101729928951211	0.00143511479786673	0.00064000280549175
mpasivos_margen	0.00964841420912643	0.0074840539676729	0.00990689274254353
cproductos_delta1	0.0093518172793674	0.00481468651113996	0.0016306920797461
mactivos_margen	0.00885585044591278	0.00816813560874326	0.0134137574301696
numero_de_cliente	0.00836060486768786	0.0095336148425265	0.0164121267380898
cliente_edad_lag1	0.00827719883729645	0.0102910031356495	0.0149304764075678
mrentabilidad_annual	0.00808254974357116	0.00767684747407532	0.0121863547895004
mrentabilidad_annual_delta1	0.00807342020279149	0.00668804689659842	0.0131770440637548
Visa_status	0.0076722385047333	0.00109499970534095	0.000683838614087075
cliente_edad	0.00765428078126283	0.00737325361405315	0.0129227963739019
ctrx_quarter_delta1	0.00762803110644409	0.00627099233091165	0.0114411460433799
Master_fechaalta	0.00698062020450235	0.00787933660670306	0.0111167610597745
Master_Fvencimiento	0.0066128622790573	0.00665452681359397	0.0117041608949519
mprestamos_personales_delta1	0.00650796587395779	0.00876114319456661	0.00342796023215444
ctarjeta_visa_trx	0.0064533691159183	0.00775034722423555	0.0104679910925637
Visa_Fvencimiento_lag1	0.006311533664671	0.00513994808005538	0.0114674475285371
Visa_Fvencimiento	0.00616385237612463	0.00756641636882247	0.0116603250863565
mcuenta_corriente_lag1	0.00609826009631449	0.00719054231352661	0.00966141221440971
Visa_fechaalta_lag1	0.00608759213164038	0.00500445371467576	0.00955620627378093
mrentabilidad_annual_lag1	0.00582714436589511	0.00554217672948634	0.00924058845189458
mcuentas_saldo_delta1	0.00578723200969502	0.00764226205393424	0.00996826287457698
Master_Fvencimiento_lag1	0.00562917170093216	0.0041840504078349	0.0108537462082026
mcaja_ahorro_dolares_delta1	0.00560747160783063	0.00634261654476676	0.0067507145236801
mrentabilidad	0.00555593925409916	0.00471673807123973	0.00852168119093125
Visa_fechaalta	0.0055336761193639	0.00491908732660449	0.0100471673300486
mcaja_ahorro_lag1	0.00548045320520831	0.005431666099715	0.00952113762690467
chomebanking_trx	0.00534024116095091	0.0047918229436728	0.0089600392768845
Master_fechaalta_lag1	0.00517032775436764	0.00689308273099484	0.010774841752731
mcomisiones_mantenimiento	0.00506634566228787	0.0069284031202633	0.0049709806947099
Visa_mpagominimo	0.00485178603413059	0.00636096370240632	0.00949483614174747
mactivos_margen_lag1	0.00481122777840214	0.00833842973469709	0.00814469323701145
mcaja_ahorro_delta1	0.00476447185946094	0.00748850810757861	0.00835510511826901
mcuenta_corriente_delta1	0.00459317037560356	0.00844889197491089	0.00842524241202153
ctrx_quarter_lag1	0.00456318449805623	0.00723671101275928	0.00835510511826901
ccaja_ahorro	0.00449983032677238	0.00377233556463762	0.00266521716259578
mtransferencias_recibidas	0.0044527581508122	0.00477207110849712	0.00704879802212832
Visa_mfinanciacion_limite	0.0043900032572325	0.00471823906776834	0.00609317739475022
mactivos_margen_delta1	0.004351335328572	0.00442329190787337	0.00759236204871035
Visa_msaldototal	0.00428216379397445	0.00229543366145117	0.00415563465483684
Master_mfinanciacion_limite	0.0042620319316649	0.0052657391505001	0.00769756798933913
cliente_antiguedad_lag1	0.00418416971910844	0.00443985072243588	0.0084340095737406
mrentabilidad_delta1	0.00415010374101426	0.00368092853402007	0.00751345759323877
cliente_antiguedad	0.00414088343931003	0.00425689594037977	0.00874962739562694
mcuentas_saldo_lag1	0.00396772721682517	0.00662451738915403	0.00754852624011503
