Feature	Gain	Cover	Frequency
ctrx_quarter	0.220670456516982	0.0168413591983284	0.0132435229525163
mtarjeta_visa_consumo	0.0354750176800346	0.0122873932004127	0.0159360802680279
mcuentas_saldo	0.0328851684999235	0.0125234222467077	0.0190847059236261
mcuenta_corriente	0.0263096925717911	0.00686018583027661	0.0103492431019664
mcaja_ahorro	0.0236623547969181	0.00705075142475313	0.0119542528372713
mdescubierto_preacordado	0.0208041773735483	0.00216338321165507	0.00164009191531162
foto_mes	0.0189616711670012	0.015826295861317	0.0160939500780579
cpayroll_trx	0.017129473919502	0.00807948589099371	0.00471855321089653
mpayroll	0.0170090028137481	0.0124652192771613	0.00543773790103317
mprestamos_personales	0.015901802389519	0.00791108764922735	0.00314862565559824
ctarjeta_visa	0.0158322418759463	0.000503910672083359	0.000570085425108316
mpasivos_margen	0.0113763183018738	0.00888464866118481	0.0107088354470347
mdescubierto_preacordado_delta1	0.0108309507116704	0.0043139694779997	0.0010436948551983
Master_status	0.0104029947581231	0.00194971360606919	0.000964759950183304
cproductos_delta1	0.00950733507679622	0.00401754787308145	0.00164886246031328
mactivos_margen	0.00903598168388198	0.00843225213641783	0.0129891771474679
mrentabilidad_annual_delta1	0.00848162864628207	0.00697286876443168	0.0135329509375713
ctrx_quarter_delta1	0.0082812209870499	0.00749108639843166	0.0123138451823396
numero_de_cliente	0.00827339447035582	0.00950463317117493	0.0158045220930029
cliente_edad_lag1	0.00818226658774429	0.0102243780328352	0.0144100054377379
mrentabilidad_annual	0.00789612476794157	0.00821488391923484	0.0112876914171447
Master_fechaalta	0.00789423241564309	0.00853652013273789	0.0118226946622463
cliente_edad	0.00756166947902993	0.00696286910060556	0.0126295848023996
Visa_status	0.00688912500849705	0.0010858869163088	0.000622708695118315
mprestamos_personales_delta1	0.00670900390078371	0.0103753065899001	0.0034731358206599
Visa_fechaalta_lag1	0.00660737609967659	0.00441287468632116	0.00972653440684804
Master_Fvencimiento	0.00632518059726441	0.00631083304098934	0.0109280990720763
Visa_Fvencimiento	0.00617458501371555	0.00816047828167035	0.011620972127208
Visa_Fvencimiento_lag1	0.00595572873314728	0.00506027409951431	0.0115244961321897
mcuenta_corriente_lag1	0.0058926924952939	0.00711806251593637	0.0102966198319564
mcaja_ahorro_dolares_delta1	0.00569109601207216	0.00549574959857359	0.00634110403620481
Master_Fvencimiento_lag1	0.00560672907601052	0.00438139274796257	0.0107176059920363
chomebanking_trx	0.00550510102864262	0.00468619518591984	0.00954235296181305
mcaja_ahorro_lag1	0.00546959627881621	0.0050294671455373	0.00909505516672806
